URL,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29",Job_Title
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,"$48,760 per year  $23.44 per hour",See How to Become One,None,Long-term on-the-job training,51900,0% (Little or no change),100,Portrait artists
https://www.bls.gov/ooh/management/human-resources-managers.htm,"$116,720 per year  $56.11 per hour",Bachelor's degree,5 years or more,None,165200,6% (Faster than average),10400,Personnel directors
https://www.bls.gov/ooh/management/farmers-ranchers-and-other-agricultural-managers.htm,"$71,160 per year  $34.21 per hour",High school diploma or equivalent,5 years or more,None,952300,-6% (Decline),-61600,Nursery managers
https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm,"$95,410 per year  $45.87 per hour",Master's degree,Less than 5 years,None,190500,4% (As fast as average),7100,College registrars
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Building carpenter helpers
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Passenger agents
https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,"$68,890 per year  $33.12 per hour",Bachelor's degree,None,None,42200,-4% (Decline),-1500,Textile designers
https://www.bls.gov/ooh/healthcare/medical-assistants.htm,"$34,800 per year  $16.73 per hour",Postsecondary nondegree award,None,None,725200,19% (Much faster than average),139200,Optometry assistants
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Aircraft de-icer installers
https://www.bls.gov/ooh/management/top-executives.htm,"$104,690 per year  $50.33 per hour",Bachelor's degree,5 years or more,None,2774300,4% (As fast as average),115000,General and operations managers
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Invoice control clerks
https://www.bls.gov/ooh/education-training-and-library/teacher-assistants.htm,"$27,920 per year","Some college, no degree",None,None,1395900,4% (As fast as average),50500,Instructional aides
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Casino cage cashiers
https://www.bls.gov/ooh/business-and-financial/cost-estimators.htm,"$65,250 per year  $31.37 per hour",Bachelor's degree,None,Moderate-term on-the-job training,214200,-1% (Decline),-3200,Cost estimators
https://www.bls.gov/ooh/healthcare/occupational-health-and-safety-specialists-and-technicians.htm,"$70,480 per year  $33.88 per hour",See How to Become One,None,See How to Become One,122600,4% (As fast as average),4800,Occupational health and safety specialists and technicians
https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,"$46,270 per year  $22.25 per hour",Bachelor's degree,None,None,52000,-11% (Decline),-5800,Press writers
https://www.bls.gov/ooh/business-and-financial/budget-analysts.htm,"$76,540 per year  $36.80 per hour",Bachelor's degree,None,None,55400,3% (As fast as average),1900,Budget officers
https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,"$61,030 per year",Bachelor's degree,None,None,443700,3% (As fast as average),14300,Severe emotional disorders high school teachers
https://www.bls.gov/ooh/management/training-and-development-managers.htm,"$113,350 per year  $54.50 per hour",Bachelor's degree,5 years or more,None,42300,7% (Faster than average),3100,Development managers
https://www.bls.gov/ooh/media-and-communication/photographers.htm,"$36,280 per year  $17.44 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,133500,-4% (Decline),-4800,Newspaper photojournalists
https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm,"$44,180 per year  $21.24 per hour",See How to Become One,None,See How to Become One,61300,3% (As fast as average),1800,Wall insulation sprayers
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Digital watch assemblers
https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,"$46,500 per year  $22.35 per hour",See How to Become One,None,See How to Become One,302100,-3% (Decline),-10000,Concrete masons
https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,"$85,260 per year  $40.99 per hour",Bachelor's degree,Less than 5 years,None,876300,11% (Much faster than average),93800,Management consultants
https://www.bls.gov/ooh/transportation-and-material-moving/delivery-truck-drivers-and-driver-sales-workers.htm,"$32,020 per year  $15.39 per hour",High school diploma or equivalent,None,Short-term on-the-job training,1506000,5% (Faster than average),75000,Newspaper delivery drivers
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,"$23,520 per year  $11.31 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,187300,10% (Much faster than average),19000,Table games supervisors
https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,"$63,200 per year  $30.39 per hour",Bachelor's degree,None,Long-term on-the-job training,131200,-2% (Decline),-3100,Production assistants
