URL,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Employment Change, 2019-29",Job_Title,Yearly_Wage,Hourly_Wage,Job_Outlook_2019-29_Rate,Job_Outlook_2019-29_Discription
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,See How to Become One,None,Long-term on-the-job training,51900,100,Portrait artists,48760.0,23.44,0.0, Little or no change
https://www.bls.gov/ooh/management/human-resources-managers.htm,Bachelor's degree,5 years or more,None,165200,10400,Personnel directors,116720.0,56.11,0.06, Faster than average
https://www.bls.gov/ooh/management/farmers-ranchers-and-other-agricultural-managers.htm,High school diploma or equivalent,5 years or more,None,952300,-61600,Nursery managers,71160.0,34.21,-0.06, Decline
https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm,Master's degree,Less than 5 years,None,190500,7100,College registrars,95410.0,45.87,0.04, As fast as average
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Building carpenter helpers,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,See How to Become One,None,See How to Become One,1465800,-38000,Passenger agents,35390.0,17.01,-0.03, Decline
https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,Bachelor's degree,None,None,42200,-1500,Textile designers,68890.0,33.12,-0.04, Decline
https://www.bls.gov/ooh/healthcare/medical-assistants.htm,Postsecondary nondegree award,None,None,725200,139200,Optometry assistants,34800.0,16.73,0.19, Much faster than average
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Aircraft de-icer installers,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/management/top-executives.htm,Bachelor's degree,5 years or more,None,2774300,115000,General and operations managers,104690.0,50.33,0.04, As fast as average
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,High school diploma or equivalent,None,See How to Become One,1343400,3500,Invoice control clerks,40540.0,19.49,0.0, Little or no change
https://www.bls.gov/ooh/education-training-and-library/teacher-assistants.htm,"Some college, no degree",None,None,1395900,50500,Instructional aides,27920.0,0.0,0.04, As fast as average
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,High school diploma or equivalent,None,See How to Become One,1343400,3500,Casino cage cashiers,40540.0,19.49,0.0, Little or no change
https://www.bls.gov/ooh/business-and-financial/cost-estimators.htm,Bachelor's degree,None,Moderate-term on-the-job training,214200,-3200,Cost estimators,65250.0,31.37,-0.01, Decline
https://www.bls.gov/ooh/healthcare/occupational-health-and-safety-specialists-and-technicians.htm,See How to Become One,None,See How to Become One,122600,4800,Occupational health and safety specialists and technicians,70480.0,33.88,0.04, As fast as average
https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,Bachelor's degree,None,None,52000,-5800,Press writers,46270.0,22.25,-0.11, Decline
https://www.bls.gov/ooh/business-and-financial/budget-analysts.htm,Bachelor's degree,None,None,55400,1900,Budget officers,76540.0,36.8,0.03, As fast as average
https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,Bachelor's degree,None,None,443700,14300,Severe emotional disorders high school teachers,61030.0,0.0,0.03, As fast as average
https://www.bls.gov/ooh/management/training-and-development-managers.htm,Bachelor's degree,5 years or more,None,42300,3100,Development managers,113350.0,54.5,0.07, Faster than average
https://www.bls.gov/ooh/media-and-communication/photographers.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,133500,-4800,Newspaper photojournalists,36280.0,17.44,-0.04, Decline
https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm,See How to Become One,None,See How to Become One,61300,1800,Wall insulation sprayers,44180.0,21.24,0.03, As fast as average
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Digital watch assemblers,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,See How to Become One,None,See How to Become One,302100,-10000,Concrete masons,46500.0,22.35,-0.03, Decline
https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,Bachelor's degree,Less than 5 years,None,876300,93800,Management consultants,85260.0,40.99,0.11, Much faster than average
https://www.bls.gov/ooh/transportation-and-material-moving/delivery-truck-drivers-and-driver-sales-workers.htm,High school diploma or equivalent,None,Short-term on-the-job training,1506000,75000,Newspaper delivery drivers,32020.0,15.39,0.05, Faster than average
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,High school diploma or equivalent,See How to Become One,See How to Become One,187300,19000,Table games supervisors,23520.0,11.31,0.1, Much faster than average
https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,Bachelor's degree,None,Long-term on-the-job training,131200,-3100,Production assistants,63200.0,30.39,-0.02, Decline
https://www.bls.gov/ooh/media-and-communication/photographers.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,133500,-4800,Photographers,36280.0,17.44,-0.04, Decline
https://www.bls.gov/ooh/construction-and-extraction/structural-iron-and-steel-workers.htm,High school diploma or equivalent,None,Apprenticeship,95900,4500,Pre-engineered metal building ironworkers,53650.0,25.79,0.05, Faster than average
https://www.bls.gov/ooh/management/emergency-management-directors.htm,Bachelor's degree,5 years or more,None,10400,500,Emergency preparedness coordinators,74590.0,35.86,0.04, As fast as average
https://www.bls.gov/ooh/business-and-financial/personal-financial-advisors.htm,Bachelor's degree,None,Long-term on-the-job training,263000,11600,Personal financial advisors,87850.0,42.24,0.04, As fast as average
https://www.bls.gov/ooh/education-training-and-library/middle-school-teachers.htm,Bachelor's degree,None,None,627100,22500,7th grade social studies teachers,59660.0,0.0,0.04, As fast as average
https://www.bls.gov/ooh/construction-and-extraction/painters-construction-and-maintenance.htm,No formal educational credential,None,Moderate-term on-the-job training,379500,900,Maintenance painters,40280.0,19.37,0.0, Little or no change
https://www.bls.gov/ooh/healthcare/veterinary-technologists-and-technicians.htm,Associate's degree,None,None,112900,18300,Veterinary lab techs,35320.0,16.98,0.16, Much faster than average
https://www.bls.gov/ooh/arts-and-design/graphic-designers.htm,Bachelor's degree,None,None,281500,-10700,Visual designers,52110.0,25.05,-0.04, Decline
https://www.bls.gov/ooh/construction-and-extraction/sheet-metal-workers.htm,High school diploma or equivalent,None,Apprenticeship,137700,1800,Sheet metal fabricators,50400.0,24.23,0.01, Slower than average
https://www.bls.gov/ooh/healthcare/dentists.htm,Doctoral or professional degree,None,See How to Become One,151600,4000,Family dentists,159200.0,76.54,0.03, As fast as average
https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,Bachelor's degree,None,None,67900,12400,Movie shot camera operators,59810.0,28.76,0.18, Much faster than average
